model,fn,ece,ece_lo,ece_hi,mce,brier,brier_lo,brier_hi,nll,split
hidden,0.9,0.05414157924781262,0.05392918835374154,0.054346990907501516,0.10466524958610535,0.103096925,0.1028596,0.103299,0.34971046,2
nohidden,0.0,0.006619582200020854,0.006554145878455064,0.006686649051261451,0.07835736870765686,0.0063367253,0.006301175,0.0063744225,0.034514192,2
nohidden,0.1,0.024110755506576764,0.024002955493123198,0.024241788996809004,0.0818985104560852,0.029465366,0.029377319,0.02956974,0.16178417,2
nohidden,0.25,0.026610527002708852,0.026491921768006917,0.02672707366088841,0.15423661470413208,0.04346575,0.043358915,0.043558184,0.1682329,2
nohidden,0.5,0.028715068936176317,0.028572343460526763,0.028847116359845933,0.10324710607528687,0.06329642,0.06315365,0.063421965,0.21914023,2
nohidden,0.75,0.03480649815016475,0.034663300764261676,0.034978344158203306,0.09513777494430542,0.08250678,0.08232681,0.08266057,0.27496406,2
nohidden,0.9,0.044717351868276155,0.044555489900449864,0.04490676910976623,0.09069886803627014,0.096943595,0.096763775,0.097129405,0.32131073,2
hidden,0.0,0.007211624391310456,0.007133294045327223,0.007295195952601122,0.05614280700683594,0.006777913,0.006734062,0.0068285544,0.032088425,3
hidden,0.1,0.02036272111003496,0.020237823851176766,0.020467716564830592,0.1300358772277832,0.025544923,0.025436489,0.025634015,0.11831908,3
hidden,0.25,0.0243272053456648,0.0242184922143293,0.02443975291651219,0.1499212682247162,0.039295644,0.039169528,0.03942059,0.14820045,3
hidden,0.5,0.02960132679742581,0.029470573920399815,0.02974161450929724,0.12888842821121216,0.05821806,0.058041543,0.058394745,0.20274983,3
hidden,0.75,0.038230482112175966,0.03807367317604161,0.038412161279818884,0.1202651858329773,0.07662977,0.07639505,0.076881215,0.25850904,3
hidden,0.9,0.04698815807812547,0.046704479780637825,0.047271238813056046,0.10145184397697449,0.09049808,0.09015635,0.090821944,0.3058485,3
nohidden,0.0,0.006868905671256358,0.006817332096046248,0.006936937238562275,0.06193786859512329,0.00633367,0.006302616,0.006370979,0.0326001,3
nohidden,0.1,0.02007862874985279,0.019963689660299582,0.020195692272515862,0.0735282301902771,0.025672238,0.025564987,0.02577078,0.13418551,3
nohidden,0.25,0.022625025469794363,0.0225301259292683,0.022739794571681408,0.10213571786880493,0.03822228,0.038094074,0.038362082,0.14650895,3
nohidden,0.5,0.025583226871445295,0.025460183446135473,0.025715357628163644,0.10486984252929688,0.055758364,0.055569623,0.05593471,0.19307618,3
nohidden,0.75,0.030830369715549526,0.03067268611691608,0.030987543203074997,0.09375780820846558,0.07226526,0.07202023,0.07248282,0.24156542,3
nohidden,0.9,0.03991046061186391,0.03963993971605089,0.04014190836066437,0.09186173975467682,0.08497457,0.084659755,0.08523489,0.28297412,3
hidden,0.0,0.007337044328572764,0.00725199155412816,0.007422576865540743,0.06408810615539551,0.007282014,0.0072260993,0.0073382095,0.034097265,4
hidden,0.1,0.019571572540564457,0.019441385181132725,0.019708225766971482,0.04398191720247269,0.025455466,0.025354452,0.02555593,0.12129299,4
hidden,0.25,0.02326278233014908,0.023125968698342853,0.023420681860566558,0.10880959033966064,0.03807753,0.03794796,0.038225427,0.14551874,4
hidden,0.5,0.028174847295341206,0.027999002096561157,0.028345917414067886,0.12072229385375977,0.056190398,0.05598924,0.05640433,0.19964744,4
hidden,0.75,0.03646922866561772,0.03627540800418563,0.036653515214034905,0.11355608701705933,0.07367796,0.073445186,0.07395365,0.25451133,4
hidden,0.9,0.04505900416210003,0.04480249765524257,0.04531333467474535,0.09313349425792694,0.08710601,0.08679706,0.087450854,0.30171663,4
nohidden,0.0,0.0074006282609567695,0.007327142194986096,0.007486517391110538,0.07754528522491455,0.0068635065,0.006822058,0.006906781,0.035067175,4
nohidden,0.1,0.020824910946478904,0.020696705598853,0.02096776260511759,0.04180258512496948,0.026274929,0.026161158,0.026402453,0.14066388,4
