model,fn,ece,ece_lo,ece_hi,mce,brier,brier_lo,brier_hi,nll,split
hidden,0.75,0.03487974579036568,0.03408733194221543,0.035625996311205686,0.08139458298683167,0.06766077,0.06682424,0.06834592,0.24330407,2
hidden,0.9,0.04466787247093584,0.043785395841771386,0.04550224951968026,0.12649771571159363,0.07841942,0.07762515,0.07914592,0.28129998,2
nohidden,0.0,0.006626772440421852,0.006420696357393999,0.006863524791603255,0.07320399582386017,0.0063972804,0.0062756427,0.0065316274,0.02779455,2
nohidden,0.1,0.01421759202508417,0.013837967551041335,0.014594299165057145,0.11419511213898659,0.021107454,0.020847725,0.02134138,0.09249921,2
nohidden,0.25,0.03008169564920953,0.029152136553016156,0.03089931493187517,0.18029941618442535,0.038824536,0.038207684,0.039355863,0.15579233,2
nohidden,0.5,0.02545869746197537,0.024830526815979612,0.026172057924059654,0.07633110880851746,0.051269155,0.05062323,0.05185552,0.18425323,2
nohidden,0.75,0.029263714528826295,0.028489015337857086,0.029890092114147518,0.06474122405052185,0.064282596,0.06356319,0.06492435,0.2264503,2
nohidden,0.9,0.03837414987838219,0.037517915985877975,0.039254933973026415,0.10775056481361389,0.074472964,0.07371639,0.07516107,0.26074833,2
hidden,0.0,0.008733568899525828,0.00802118489206387,0.009402810563466264,0.09021133184432983,0.0060230545,0.005592588,0.0064729536,0.025321333,3
hidden,0.1,0.007762927526965885,0.006757899599016735,0.008636830218084214,0.003018200397491455,0.013390277,0.012548412,0.014082977,0.052212685,3
hidden,0.25,0.01510686521680188,0.012879914153473372,0.017231177033517116,0.08243654668331146,0.023454495,0.021708494,0.025083682,0.086275406,3
hidden,0.5,0.014446808583368713,0.011967263713094678,0.016942613127130055,0.028796076774597168,0.03324174,0.030912964,0.03539374,0.11563404,3
hidden,0.75,0.017698578416532502,0.015264860242819877,0.02041428170521354,0.08445513248443604,0.043521263,0.040729694,0.04626946,0.147498,3
hidden,0.9,0.021244928943741685,0.018271440196386855,0.024086268724854285,0.04737062752246857,0.050170884,0.046724528,0.053218506,0.16966464,3
nohidden,0.0,0.00831644488618944,0.0077058470745672986,0.00892243401664021,0.09175148606300354,0.005451932,0.0051009418,0.0058375373,0.023506412,3
nohidden,0.1,0.007909475151285029,0.0068185369028999085,0.00880497551954754,0.00773978978395462,0.013444926,0.012487878,0.014257536,0.05335753,3
nohidden,0.25,0.015682378407313055,0.013528529342698036,0.0177530438215555,0.09216371178627014,0.02377652,0.021900132,0.025561983,0.08826173,3
nohidden,0.5,0.014409997240786752,0.01202124761238393,0.01679931899166296,0.023827850818634033,0.033034667,0.030702414,0.035158396,0.11492458,3
nohidden,0.75,0.01729833089528907,0.014529340879966084,0.02004671886383834,0.07839280366897583,0.04303347,0.040346544,0.045700103,0.14598094,3
