COG_ID	input_prob	input_present	candidate	truth	known_fp	true_input	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG0450	1	1	1	1	0	1	0.995293	0	0.979745	0	0.906991	0	0.0155482	0.0883023	2.23963	0.830371	0.90625
COG0455	1	1	1	0	1	0	0.999509	0	0.997762	0	0.990493	0	0.00174648	0.00901544	4.88057	0.786076	0.8125
COG0461	1	1	1	1	0	1	0.989541	0	0.979505	0	0.960375	0	0.0100367	0.0291661	1.62965	0.97324	1
COG0472	1	1	1	1	0	1	0.989848	0	0.988465	0	0.987364	0	0.00138253	0.00248325	1.41195	0.987517	1
COG0473	1	1	1	1	0	1	0.998259	0	0.995534	0	0.9888	0	0.00272465	0.00945926	3.24611	0.984415	1
COG0474	1	1	1	1	0	1	0.997708	0	0.99079	0	0.964445	0	0.00691772	0.0332627	2.71019	0.833351	0.90625
COG0494	1	1	1	1	0	1	0.99976	0	0.999306	0	0.998107	0	0.000453353	0.00165242	4.07193	0.996033	1
COG0495	1	1	1	1	0	1	0.977251	0	0.982869	0	0.987819	0	-0.00561744	-0.0105677	1.25261	0.963365	1
COG0503	1	1	1	1	0	1	0.993498	0	0.975506	0	0.920092	0	0.0179921	0.0734057	1.48832	0.919675	1
COG0522	1	1	1	1	0	1	0.99408	0	0.98806	0	0.967546	0	0.00601995	0.0265331	1.01442	0.975248	1
COG0539	1	1	1	1	0	1	0.995841	0	0.992612	0	0.986932	0	0.00322902	0.00890934	2.28134	0.98119	1
COG0545	1	1	1	1	0	1	0.997443	0	0.990456	0	0.963932	0	0.00698638	0.0335106	3.50183	0.782118	0.84375
COG0550	1	1	1	1	0	1	0.97491	0	0.976642	0	0.979639	0	-0.00173295	-0.00472963	0.719343	0.967713	1
COG0554	1	1	1	1	0	1	0.997586	0	0.990471	0	0.965574	0	0.00711507	0.0320123	2.7926	0.893672	1
COG0565	1	1	1	1	0	1	0.985456	0	0.934923	0	0.742605	0	0.0505326	0.242851	1.61766	0.651074	0.6875
COG0567	1	1	1	1	0	1	0.981278	0	0.910096	0	0.596189	0	0.071182	0.385089	0.934001	0.509531	0.46875
COG0581	1	1	1	1	0	1	0.997903	0	0.993176	0	0.976913	0	0.00472653	0.0209899	3.053	0.939237	1
COG0590	1	1	1	1	0	1	0.995698	0	0.989222	0	0.973451	0	0.00647593	0.022247	2.16004	0.961019	1
COG0595	1	1	1	0	1	0	0.992628	0	0.9799	0	0.944294	0	0.0127283	0.0483338	2.11486	0.88987	0.9375
COG0598	1	1	1	1	0	1	0.996362	0	0.985873	0	0.948501	0	0.0104889	0.047861	2.43842	0.857249	0.9375
