COG_ID	input_prob	mean_actual	sd_actual	mean_>0	sd_>0	mean_>0.01	sd_>0.01	mean_>0.04	sd_>0.04	mean_>0.099	sd_>0.099
COG3262	0.0000	0.1768	0.1122	0.1851	0.1031	0.2620	0.1228	0.1127	0.0804	0.0214	0.0109
COG3263	0.0000	0.1559	0.0530	0.1712	0.0891	0.0934	0.0203	0.0473	0.0151	0.0697	0.0308
COG3264	0.0000	0.2623	0.0853	0.2478	0.0925	0.2549	0.0965	0.3345	0.1057	0.2601	0.0797
COG3265	0.0000	0.0039	0.0013	0.0034	0.0010	0.0020	0.0006	0.0032	0.0012	0.0034	0.0014
COG3266	0.0000	0.1874	0.0520	0.2042	0.0790	0.1405	0.0435	0.1412	0.0345	0.1234	0.0385
COG3267	0.0000	0.6639	0.1263	0.6907	0.1217	0.6089	0.1383	0.6506	0.1507	0.3100	0.1459
COG3268	0.0000	0.0051	0.0036	0.0072	0.0046	0.0020	0.0011	0.0033	0.0015	0.0026	0.0013
COG3269	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0001
COG3270	0.0000	0.0189	0.0135	0.0173	0.0103	0.0433	0.0189	0.0786	0.0447	0.0160	0.0074
COG3271	0.0000	0.3228	0.0712	0.3142	0.0661	0.2251	0.0483	0.1635	0.0397	0.1170	0.0390
COG3272	0.0000	0.0157	0.0111	0.0116	0.0096	0.0151	0.0124	0.0053	0.0045	0.0028	0.0020
COG3273	0.0000	0.0012	0.0011	0.0011	0.0010	0.0029	0.0029	0.0023	0.0027	0.0014	0.0011
COG3274	0.0000	0.0096	0.0045	0.0068	0.0041	0.0080	0.0036	0.0096	0.0045	0.0177	0.0099
COG3275	0.0000	0.7881	0.0879	0.8735	0.0796	0.4178	0.1278	0.0634	0.0249	0.0158	0.0060
COG3276	0.0000	0.8882	0.0910	0.9607	0.0408	0.6779	0.2403	0.3294	0.2317	0.0727	0.0740
COG3277	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
COG3278	0.0000	0.0523	0.0310	0.1725	0.0885	0.0316	0.0246	0.0196	0.0205	0.0055	0.0025
COG3279	0.0000	0.2179	0.1365	0.2275	0.1549	0.0992	0.0687	0.0458	0.0408	0.0274	0.0227
COG3280	0.0200	0.5121	0.1214	0.8467	0.0804	0.4866	0.1290	0.0651	0.0336	0.0159	0.0064
COG3281	0.0100	0.0593	0.0449	0.1968	0.1436	0.0199	0.0224	0.0052	0.0032	0.0027	0.0011
COG3283	0.0000	0.0055	0.0040	0.0065	0.0031	0.0026	0.0031	0.0026	0.0042	0.0046	0.0101
COG3284	0.0000	0.5919	0.1327	0.5386	0.1403	0.1999	0.0774	0.0507	0.0213	0.0104	0.0100
COG3285	0.0000	0.4332	0.1961	0.6405	0.2064	0.2706	0.1421	0.0361	0.0210	0.0133	0.0076
COG3286	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
COG3287	0.0000	0.1423	0.0798	0.1204	0.0755	0.1520	0.0610	0.3249	0.1155	0.2641	0.0762
COG3288	0.0000	0.0896	0.0481	0.1432	0.1069	0.0470	0.0177	0.0251	0.0098	0.0388	0.0142
COG3290	0.0000	0.7556	0.0916	0.7261	0.1147	0.4456	0.1502	0.1444	0.0506	0.0737	0.0212
COG3291	0.0000	0.5432	0.1129	0.4633	0.1263	0.4578	0.1513	0.3498	0.1083	0.2327	0.0520
COG3292	0.0000	0.0778	0.0437	0.0398	0.0264	0.0499	0.0196	0.0705	0.0254	0.0696	0.0249
COG3293	0.0000	0.0330	0.0190	0.0152	0.0079	0.0186	0.0119	0.0175	0.0107	0.0222	0.0189
COG3294	0.0100	0.7036	0.1670	0.9268	0.0476	0.7293	0.1731	0.4775	0.1792	0.1958	0.1281
COG3295	0.0000	0.0145	0.0050	0.0161	0.0067	0.0066	0.0024	0.0034	0.0018	0.0025	0.0010
COG3296	0.0000	0.3288	0.1120	0.3292	0.1592	0.2645	0.1085	0.0582	0.0131	0.0227	0.0080
COG3297	0.0000	0.0154	0.0469	0.0151	0.0458	0.0173	0.0470	0.0263	0.0418	0.0101	0.0218
COG3298	0.0000	0.0307	0.0631	0.0231	0.0451	0.0428	0.0692	0.0861	0.1218	0.0683	0.0879
COG3299	0.0000	0.0598	0.0365	0.0388	0.0195	0.0336	0.0197	0.0441	0.0236	0.0410	0.0238
COG3300	0.0000	0.0175	0.0281	0.0153	0.0219	0.0099	0.0153	0.0103	0.0117	0.0050	0.0039
COG3301	0.0100	0.3232	0.1006	0.7920	0.0763	0.0937	0.0556	0.0254	0.0174	0.0021	0.0012
COG3302	0.0000	0.0913	0.0704	0.1238	0.0998	0.0343	0.0253	0.0106	0.0100	0.0028	0.0049
COG3303	0.0000	0.6941	0.1889	0.8356	0.1634	0.4324	0.2245	0.3114	0.2037	0.0383	0.0314
COG3304	0.0000	0.0580	0.0299	0.0628	0.0290	0.0150	0.0092	0.0075	0.0049	0.0065	0.0045
COG3305	0.0000	0.0014	0.0007	0.0022	0.0013	0.0025	0.0010	0.0022	0.0007	0.0017	0.0008
COG3306	0.0000	0.0068	0.0036	0.0052	0.0028	0.0042	0.0021	0.0038	0.0014	0.0071	0.0046
COG3307	0.0000	0.9211	0.0414	0.9141	0.0501	0.8001	0.0815	0.6849	0.1282	0.4887	0.1253
COG3308	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000
COG3309	0.0000	0.0023	0.0015	0.0021	0.0012	0.0026	0.0014	0.0022	0.0010	0.0035	0.0019
COG3310	0.0100	0.0007	0.0010	0.0017	0.0026	0.0003	0.0006	0.0003	0.0005	0.0005	0.0007
COG3311	0.0000	0.3342	0.0838	0.2149	0.0397	0.1470	0.0727	0.1479	0.1026	0.0771	0.0424
COG3312	0.0000	0.0064	0.0195	0.0083	0.0258	0.0051	0.0157	0.0053	0.0164	0.0055	0.0169
COG3313	0.0000	0.0059	0.0167	0.0062	0.0175	0.0038	0.0109	0.0057	0.0150	0.0092	0.0214
COG3314	0.0000	0.1055	0.0682	0.0915	0.0848	0.0649	0.0336	0.0178	0.0222	0.0389	0.0309
COG3315	0.0000	0.0469	0.0123	0.0268	0.0063	0.0212	0.0072	0.0210	0.0072	0.0197	0.0068
COG3316	0.0000	0.0775	0.0251	0.0361	0.0162	0.0313	0.0118	0.0179	0.0096	0.0126	0.0068
COG3317	0.0000	0.0036	0.0075	0.0027	0.0052	0.0050	0.0105	0.0066	0.0129	0.0111	0.0186
COG3318	0.0000	0.0042	0.0108	0.0040	0.0106	0.0040	0.0092	0.0028	0.0060	0.0016	0.0033
COG3319	0.0000	0.0085	0.0038	0.0106	0.0057	0.0050	0.0026	0.0022	0.0013	0.0010	0.0005
COG3320	0.0000	0.0419	0.0238	0.0555	0.0490	0.0347	0.0194	0.0436	0.0212	0.0321	0.0158
COG3321	0.0000	0.0153	0.0021	0.0130	0.0032	0.0062	0.0020	0.0065	0.0018	0.0077	0.0034
COG3322	0.0000	0.2537	0.0346	0.2151	0.0308	0.1697	0.0334	0.0914	0.0260	0.0203	0.0076
COG3323	0.0000	0.0154	0.0274	0.0090	0.0198	0.0141	0.0297	0.0166	0.0362	0.0417	0.0466
COG3324	0.0000	0.0382	0.0193	0.0289	0.0134	0.0141	0.0057	0.0185	0.0060	0.0123	0.0056
COG3325	0.0000	0.0264	0.0108	0.0201	0.0066	0.0091	0.0018	0.0115	0.0021	0.0123	0.0017
COG3326	0.0000	0.0051	0.0042	0.0027	0.0027	0.0027	0.0026	0.0041	0.0050	0.0082	0.0076
COG3327	0.0000	0.0245	0.0175	0.0202	0.0170	0.0228	0.0126	0.0213	0.0084	0.0085	0.0057
COG3328	0.0000	0.6274	0.0832	0.5606	0.0893	0.3996	0.0805	0.1945	0.0351	0.1074	0.0223
COG3329	0.0000	0.0177	0.0159	0.0145	0.0135	0.0084	0.0063	0.0103	0.0096	0.0070	0.0065
COG3330	0.0000	0.6974	0.2139	0.7750	0.2219	0.7830	0.1564	0.4991	0.1501	0.4103	0.1991
COG3331	0.0000	0.0066	0.0063	0.0059	0.0063	0.0055	0.0051	0.0046	0.0043	0.0074	0.0067
COG3332	0.0000	0.0419	0.0214	0.0328	0.0176	0.0084	0.0044	0.0048	0.0052	0.0035	0.0025
COG3333	0.0000	0.7660	0.1199	0.8360	0.1351	0.2904	0.1120	0.1212	0.0327	0.0524	0.0174
COG3334	0.0000	0.3725	0.1349	0.3700	0.1527	0.3328	0.1354	0.3623	0.1557	0.2636	0.1395
COG3335	0.0000	0.2559	0.0853	0.1839	0.0836	0.0979	0.0410	0.0503	0.0252	0.0302	0.0119
COG3336	0.0000	0.0016	0.0009	0.0013	0.0008	0.0010	0.0005	0.0006	0.0002	0.0006	0.0003
COG3337	0.0000	0.7407	0.1131	0.7791	0.0681	0.3904	0.0897	0.1144	0.0491	0.0280	0.0114
COG3338	0.0000	0.0024	0.0013	0.0025	0.0019	0.0025	0.0016	0.0125	0.0057	0.0087	0.0045
COG3339	0.0000	0.5192	0.1297	0.4525	0.1658	0.3510	0.0628	0.1055	0.0418	0.0672	0.0362
COG3340	0.0000	0.0140	0.0057	0.0239	0.0090	0.0087	0.0024	0.0105	0.0041	0.0212	0.0062
COG3341	0.0000	0.0262	0.0153	0.0241	0.0175	0.0276	0.0202	0.0190	0.0157	0.0337	0.0229
COG3342	0.0000	0.0814	0.0504	0.0997	0.0720	0.0429	0.0224	0.0131	0.0092	0.0085	0.0056
COG3343	0.0000	0.0306	0.0295	0.0258	0.0256	0.0174	0.0246	0.0038	0.0024	0.0050	0.0036
COG3344	0.0000	0.4101	0.0921	0.2979	0.0648	0.1900	0.0692	0.0963	0.0454	0.0865	0.0262
COG3345	0.0000	0.1441	0.0913	0.1677	0.0975	0.1200	0.0666	0.0523	0.0373	0.0439	0.0359
COG3346	0.0000	0.0004	0.0011	0.0006	0.0016	0.0006	0.0015	0.0009	0.0021	0.0027	0.0060
COG3347	0.0000	0.3106	0.1450	0.3367	0.1283	0.3521	0.1510	0.1267	0.0662	0.0306	0.0118
