COG_ID	input_prob	mean_actual	sd_actual	mean_>0	sd_>0	mean_>0.01	sd_>0.01	mean_>0.04	sd_>0.04	mean_>0.099	sd_>0.099
COG1703	1.0000	0.9183	0.0921	0.9964	0.0103	0.9770	0.0251	0.9565	0.0496	0.9625	0.0297
COG1704	1.0000	0.9271	0.1070	0.9656	0.0793	0.9393	0.0989	0.9409	0.0742	0.9045	0.0850
COG1705	0.9514	0.1661	0.2538	0.3627	0.2435	0.2462	0.2648	0.2410	0.2325	0.1852	0.2399
COG1706	1.0000	0.9995	0.0005	0.9732	0.0632	0.9981	0.0030	0.9996	0.0005	0.9998	0.0001
COG1707	0.0000	0.0379	0.0192	0.1214	0.0795	0.0571	0.0304	0.0292	0.0152	0.0159	0.0066
COG1708	1.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	1.0000	0.0000	0.9999	0.0001
COG1709	0.0000	0.0004	0.0006	0.0006	0.0006	0.0007	0.0010	0.0005	0.0008	0.0005	0.0008
COG1710	0.0000	0.0017	0.0010	0.0038	0.0033	0.0015	0.0010	0.0014	0.0009	0.0012	0.0008
COG1711	0.0000	0.0045	0.0047	0.0188	0.0199	0.0061	0.0083	0.0041	0.0060	0.0040	0.0063
COG1712	0.0023	0.0453	0.0294	0.0499	0.0422	0.0084	0.0058	0.0053	0.0028	0.0041	0.0021
COG1713	1.0000	0.9191	0.1288	0.9279	0.1518	0.9618	0.0585	0.9576	0.0570	0.9530	0.0473
COG1714	1.0000	0.3996	0.2777	0.8317	0.2193	0.7094	0.2760	0.4103	0.2754	0.3214	0.2690
COG1715	0.9996	0.6153	0.1690	0.8631	0.0808	0.6314	0.1787	0.6080	0.1774	0.5402	0.1875
COG1716	1.0000	0.9170	0.1629	0.9992	0.0016	0.9101	0.1943	0.9207	0.1679	0.8940	0.1778
COG1717	0.0000	0.0019	0.0022	0.0013	0.0015	0.0020	0.0035	0.0015	0.0023	0.0014	0.0019
COG1718	0.0000	0.0037	0.0030	0.0611	0.0583	0.0087	0.0094	0.0050	0.0054	0.0034	0.0042
COG1719	0.0000	0.0981	0.1358	0.5233	0.2382	0.0901	0.0848	0.0730	0.1091	0.0710	0.1045
COG1720	0.9996	0.7987	0.1223	0.7795	0.1645	0.8113	0.1283	0.7693	0.1688	0.7797	0.1684
COG1721	1.0000	0.9675	0.0503	0.9996	0.0011	0.9879	0.0220	0.9727	0.0488	0.9445	0.0867
COG1722	1.0000	0.7969	0.1646	0.8780	0.2047	0.8060	0.2380	0.8194	0.2045	0.8097	0.1722
COG1723	0.0024	0.9064	0.1002	0.9933	0.0075	0.8104	0.1807	0.6409	0.1931	0.6132	0.1877
COG1724	1.0000	0.9967	0.0018	0.9959	0.0024	0.9974	0.0010	0.9968	0.0018	0.9950	0.0032
COG1725	0.9962	0.4096	0.2983	0.8359	0.2939	0.5902	0.3515	0.5582	0.3153	0.4901	0.3003
COG1726	0.0000	0.0002	0.0005	0.0419	0.0887	0.0001	0.0001	0.0000	0.0001	0.0001	0.0001
COG1727	0.0000	0.0016	0.0018	0.0011	0.0011	0.0021	0.0039	0.0015	0.0026	0.0014	0.0021
COG1728	0.9959	0.9917	0.0106	0.9982	0.0017	0.9942	0.0042	0.9942	0.0042	0.9916	0.0052
COG1729	1.0000	0.7664	0.2033	0.8159	0.1325	0.5939	0.2574	0.6391	0.2356	0.8034	0.1569
COG1730	0.0000	0.0661	0.0784	0.0621	0.0798	0.0465	0.0544	0.0283	0.0343	0.0351	0.0373
COG1731	0.0000	0.0035	0.0020	0.0039	0.0028	0.0030	0.0018	0.0030	0.0016	0.0023	0.0012
COG1732	0.1112	0.1942	0.1050	0.8121	0.1356	0.7967	0.1812	0.6605	0.2058	0.6132	0.2031
COG1733	0.6210	0.0051	0.0068	0.0326	0.0904	0.0985	0.2858	0.0569	0.1519	0.0280	0.0577
COG1734	0.9989	0.9825	0.0350	0.9990	0.0030	0.9967	0.0039	0.9665	0.0611	0.9510	0.0695
COG1735	0.0191	0.5185	0.2586	0.9449	0.0834	0.8351	0.1814	0.2095	0.1886	0.1216	0.1306
