COG_ID	input_prob	input_present	candidate	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus	anchor_support
COG0185	1	1	1	0.999985	1.26487e-05	0.999907	8.5166e-05	0.999563	0.000327689	7.80225e-05	0.000422001	5.94697	0.99296	1	0.999937
COG0186	1	1	1	0.999998	3.42361e-06	0.999984	2.15735e-05	0.9999	0.000134965	1.34706e-05	9.81092e-05	7.4035	0.997964	1	0.999955
COG0187	1	1	1	0.99779	0.00337224	0.989415	0.0130024	0.95794	0.0456838	0.00837559	0.0398507	0.181685	0.996922	1	0.995773
COG0188	1	1	1	0.988037	0.0264574	0.963163	0.0605597	0.880766	0.142973	0.024873	0.107271	-0.943602	0.997175	1	0.995596
COG0189	1	1	1	0.45323	0.299766	0.345183	0.291026	0.232863	0.271603	0.108047	0.220367	-1.77726	0.978713	1	0.00416715
COG0190	1	1	1	0.998196	0.00275372	0.993689	0.0121825	0.976001	0.0582238	0.00450724	0.0221944	1.66238	0.995069	1	0.994138
COG0191	1	1	1	0.987726	0.0172296	0.972568	0.0351107	0.952984	0.0703739	0.0151581	0.0347419	2.23319	0.995367	1	0.988797
COG0192	1	1	1	0.996189	0.00477358	0.987827	0.0160244	0.960707	0.0519428	0.00836223	0.0354819	1.22509	0.993202	1	0.993598
COG0193	1	1	1	0.998403	0.00171659	0.995441	0.0041683	0.985825	0.0163101	0.00296152	0.0125782	1.91717	0.994533	1	0.995777
COG0194	1	1	1	0.994786	0.0112517	0.990885	0.0146727	0.978867	0.0341174	0.003901	0.015919	2.1256	0.983994	1	0.993957
COG0195	1	1	1	0.999773	0.000393251	0.996704	0.0060476	0.983847	0.0324295	0.00306886	0.0159257	1.21919	0.989141	1	0.999531
COG0196	1	1	1	0.999596	0.000639356	0.998769	0.00207803	0.996475	0.00704715	0.000827014	0.00312138	4.05847	0.998272	1	0.981456
COG0197	1	1	1	0.999999	1.24672e-06	0.999992	6.28565e-06	0.999955	3.05156e-05	6.79493e-06	4.36902e-05	8.18361	0.998382	1	0.999947
COG0198	1	1	1	0.999996	6.26277e-06	0.999967	4.68351e-05	0.999819	0.000251923	2.87294e-05	0.000176311	6.78392	0.997115	1	0.999884
COG0199	1	1	1	0.596785	0.243013	0.374129	0.302753	0.219842	0.258782	0.222655	0.376943	-2.60847	0.59021	0.596875	0.751249
COG0200	1	1	1	0.999905	0.000208265	0.999233	0.00170654	0.99779	0.00339467	0.000672519	0.00211591	4.01754	0.99762	1	0.999832
COG0201	1	1	1	0.999917	0.000133016	0.999619	0.00056603	0.998663	0.00170873	0.000298202	0.00125444	4.62896	0.999409	1	0.999625
COG0202	1	1	1	0.999979	2.52758e-05	0.999765	0.000389628	0.998567	0.00218781	0.000213623	0.0014118	4.05694	0.997797	1	0.999954
COG0203	1	1	1	0.999496	0.000689241	0.997676	0.0031242	0.990674	0.0143356	0.00181967	0.00882167	2.61267	0.996674	1	0.998802
COG0204	1	1	1	0.985735	0.0230059	0.956746	0.0620952	0.895788	0.122367	0.0289891	0.0899462	-0.0458427	0.998083	1	0.994257
COG0205	1	1	1	0.999893	0.000237671	0.999688	0.000768948	0.999245	0.00201099	0.000204623	0.000647902	6.34561	0.999931	1	0.992676
COG0206	1	1	1	0.999765	0.000392548	0.998688	0.00180257	0.996426	0.00416222	0.001077	0.00333858	3.27869	0.996792	1	0.997105
COG0207	0.8513	1	1	0.0182714	0.0520759	0.00446346	0.0123335	0.000690332	0.00158649	0.013808	0.0175811	-7.53669	0.312653	0.278125	0.0102054
COG0208	0.0822	1	1	9.44734e-06	6.77756e-06	8.62479e-06	6.14392e-06	3.03686e-06	2.10166e-06	8.22544e-07	6.41048e-06	-12.4827	0.0437103	0	0.00230908
COG0209	1	1	1	0.999904	0.000166846	0.999708	0.000441908	0.999258	0.00143663	0.000195086	0.000645161	6.1602	0.998906	1	0.992347
COG0210	1	1	1	0.999833	0.000152329	0.999173	0.000859322	0.995716	0.00557146	0.000659943	0.00411767	2.50824	0.999414	1	0.997088
