COG_ID	input_prob	input_present	candidate	truth	known_fp	true_input	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG2962	1	1	1	0	1	0	0.566471	0	0.284101	0	0.12839	0	0.282371	0.438081	-1.07472	0.229984	0.125
COG3011	1	1	1	0	1	0	0.898073	0	0.592803	0	0.209985	0	0.30527	0.688088	-0.537761	0.42984	0.40625
COG3024	1	1	1	0	1	0	0.4761	0	0.211922	0	0.0768726	0	0.264178	0.399227	-1.33459	0.0658262	0
COG3089	1	1	1	0	1	0	0.033747	0	0.0136913	0	0.00588509	0	0.0200557	0.0278619	-2.31466	0.00897058	0
COG3104	1	1	1	0	1	0	0.25967	0	0.0924657	0	0.0246577	0	0.167204	0.235012	-2.56747	0.148124	0
COG3118	1	1	1	0	1	0	0.995605	0	0.987764	0	0.967563	0	0.00784123	0.0280426	1.05366	0.925729	1
COG3164	1	1	1	0	1	0	0.115295	0	0.0308242	0	0.0079726	0	0.0844707	0.107322	-3.72651	0.0443915	0
COG3185	1	1	1	0	1	0	0.923027	0	0.700547	0	0.367692	0	0.22248	0.555335	0.303358	0.502024	0.46875
COG3191	1	1	1	0	1	0	0.97184	0	0.887217	0	0.641958	0	0.0846223	0.329881	1.41625	0.627173	0.625
COG3233	1	1	1	1	0	1	0.123288	0	0.0364245	0	0.011565	0	0.0868632	0.111723	-1.7359	0.0820955	0
COG3246	1	1	1	0	1	0	0.908121	0	0.699909	0	0.40168	0	0.208212	0.506441	0.75637	0.487149	0.4375
COG3260	1	1	1	1	0	1	0.580047	0	0.359696	0	0.121138	0	0.220351	0.458909	-0.136767	0.403354	0.375
COG3294	1	1	1	1	0	1	0.517017	0	0.213652	0	0.0561312	0	0.303364	0.460886	-0.449297	0.325501	0.3125
COG3344	1	1	1	0	1	0	0.714954	0	0.388344	0	0.150761	0	0.326611	0.564193	-1.13204	0.566411	0.65625
COG3346	1	1	1	0	1	0	0.0997406	0	0.0359021	0	0.0184203	0	0.0638385	0.0813203	-3.25575	0.0860735	0
COG3354	1	1	1	1	0	1	0.00513938	0	0.00104219	0	0.000231087	0	0.00409719	0.00490829	-3.37145	0.0356198	0
COG3387	1	1	1	1	0	1	0.963572	0	0.861012	0	0.595682	0	0.10256	0.36789	1.03321	0.612962	0.65625
COG3476	1	1	1	0	1	0	0.887696	0	0.574559	0	0.208476	0	0.313137	0.679219	-0.271539	0.436582	0.5
COG3492	1	1	1	0	1	0	0.0506073	0	0.0145995	0	0.00429201	0	0.0360079	0.0463153	-3.60036	0.0125297	0
COG3494	1	1	1	0	1	0	0.017163	0	0.00817937	0	0.00333381	0	0.00898361	0.0138292	-4.32115	0.0340709	0
COG3560	1	1	1	0	1	0	0.0231107	0	0.00670239	0	0.00219679	0	0.0164084	0.020914	-3.17595	0.0204787	0
COG3631	1	1	1	0	1	0	0.985106	0	0.93493	0	0.762817	0	0.0501763	0.222289	1.64398	0.68926	0.65625
COG3638	1	1	1	0	1	0	0.872688	0	0.646004	0	0.276873	0	0.226684	0.595815	0.313262	0.511599	0.5625
COG3653	1	1	1	0	1	0	0.96491	0	0.882456	0	0.723083	0	0.0824549	0.241827	1.95741	0.58357	0.59375
COG3665	1	1	1	0	1	0	0.817301	0	0.555934	0	0.265436	0	0.261367	0.551865	0.84041	0.262231	0.25
COG3679	1	1	1	0	1	0	0.78212	0	0.492299	0	0.171086	0	0.289822	0.611034	0.206611	0.328334	0.3125
COG3727	1	1	1	0	1	0	0.518737	0	0.20912	0	0.0735864	0	0.309617	0.44515	-0.773138	0.271714	0.28125
COG3773	1	1	1	0	1	0	0.488159	0	0.205013	0	0.0607646	0	0.283146	0.427395	-1.53766	0.165327	0.03125
COG3794	1	1	1	0	1	0	0.963227	0	0.804383	0	0.400961	0	0.158844	0.562266	0.462394	0.552819	0.5
COG3852	1	1	1	0	1	0	0.990453	0	0.957949	0	0.816079	0	0.0325038	0.174374	1.8835	0.491732	0.4375
COG3903	1	1	1	0	1	0	0.125798	0	0.0570372	0	0.0272354	0	0.0687606	0.0985624	-0.968604	0.0542178	0
COG3959	1	1	1	1	0	1	0.943432	0	0.819978	0	0.579409	0	0.123454	0.364023	0.816523	0.715426	0.65625
COG4009	1	1	1	1	0	1	0.00159782	0	0.0002051	0	2.96831e-05	0	0.00139272	0.00156814	-4.60225	0.0115997	0
COG4019	1	1	1	1	0	1	5.85318e-05	0	1.10269e-06	0	2.98023e-08	0	5.74291e-05	5.8502e-05	-7.47312	0.00192673	0
COG4020	1	1	1	1	0	1	1.82092e-05	0	2.20537e-06	0	2.98023e-07	0	1.60038e-05	1.79112e-05	-8.0548	0.00463815	0
COG4051	1	1	1	1	0	1	0.000283957	0	5.31971e-05	0	1.03414e-05	0	0.000230759	0.000273615	-5.85697	0.00122986	0
COG4065	1	1	1	1	0	1	0.000181556	0	1.35005e-05	0	1.07288e-06	0	0.000168055	0.000180483	-8.11045	0.0140584	0
COG4071	1	1	1	1	0	1	0.0226525	0	0.00577387	0	0.00169805	0	0.0168787	0.0209545	-1.35716	0.0370545	0
COG4087	1	1	1	1	0	1	0.0624532	0	0.0185248	0	0.00624138	0	0.0439284	0.0562118	-1.58293	0.0601188	0
