family,fn,fp,MCC_mean,MCC_std,ece_mean,ece_std,n
nohidden_HO_T20_mixFTfpreal,0.1,0.1,0.5066,0.1478,0.2219,0.0845,10
nohidden_HO_T20_mixFTfpreal,0.1,0.2,0.5037,0.1291,0.2471,0.087,10
nohidden_HO_T20_mixFTfpreal,0.2,0.01,0.4764,0.1783,0.1827,0.0891,10
nohidden_HO_T20_mixFTfpreal,0.2,0.025,0.4977,0.1699,0.1858,0.0855,10
nohidden_HO_T20_mixFTfpreal,0.2,0.05,0.5088,0.1551,0.1929,0.0822,10
nohidden_HO_T20_mixFTfpreal,0.2,0.1,0.5126,0.133,0.2047,0.0804,10
nohidden_HO_T20_mixFTfpreal,0.2,0.2,0.507,0.1095,0.226,0.0825,10
nohidden_HO_T20_mixFTfpreal,0.3,0.01,0.4973,0.1717,0.1698,0.0868,10
nohidden_HO_T20_mixFTfpreal,0.3,0.025,0.5059,0.1635,0.1729,0.0839,10
nohidden_HO_T20_mixFTfpreal,0.3,0.05,0.5113,0.1498,0.1779,0.0804,10
nohidden_HO_T20_mixFTfpreal,0.3,0.1,0.5118,0.1257,0.1883,0.0762,10
nohidden_HO_T20_mixFTfpreal,0.3,0.2,0.5046,0.0937,0.2061,0.0765,10
nohidden_HO_T20_mixFTfpreal,0.4,0.01,0.5004,0.168,0.1575,0.0859,10
nohidden_HO_T20_mixFTfpreal,0.4,0.025,0.5059,0.1605,0.1599,0.0829,10
nohidden_HO_T20_mixFTfpreal,0.4,0.05,0.5093,0.1483,0.1642,0.0786,10
nohidden_HO_T20_mixFTfpreal,0.4,0.1,0.5074,0.1242,0.1736,0.0719,10
nohidden_HO_T20_mixFTfpreal,0.4,0.2,0.4972,0.0849,0.1857,0.0678,10
nohidden_HO_T20_mixFTfpreal,0.5,0.01,0.5001,0.1642,0.1465,0.0851,10
nohidden_HO_T20_mixFTfpreal,0.5,0.025,0.5039,0.158,0.1485,0.082,10
nohidden_HO_T20_mixFTfpreal,0.5,0.05,0.5053,0.1473,0.1528,0.0768,10
nohidden_HO_T20_mixFTfpreal,0.5,0.1,0.499,0.1255,0.1609,0.0676,10
nohidden_HO_T20_mixFTfpreal,0.5,0.2,0.4798,0.0894,0.1644,0.0575,10
nohidden_HO_T20_mixFTfpreal,0.6,0.01,0.4985,0.1588,0.1377,0.0834,10
nohidden_HO_T20_mixFTfpreal,0.6,0.025,0.5009,0.1537,0.1397,0.08,10
nohidden_HO_T20_mixFTfpreal,0.6,0.05,0.4987,0.1448,0.1441,0.0741,10
nohidden_HO_T20_mixFTfpreal,0.6,0.1,0.4855,0.1278,0.1499,0.0637,10
nohidden_HO_T20_mixFTfpreal,0.6,0.2,0.4339,0.1069,0.1442,0.0461,10
nohidden_HO_T20_mixFTfpreal,0.7,0.01,0.4945,0.1525,0.1322,0.0801,10
nohidden_HO_T20_mixFTfpreal,0.7,0.025,0.4939,0.1483,0.1344,0.0767,10
nohidden_HO_T20_mixFTfpreal,0.7,0.05,0.487,0.1409,0.1386,0.0706,10
nohidden_HO_T20_mixFTfpreal,0.7,0.1,0.4609,0.1302,0.1401,0.0607,10
nohidden_HO_T20_mixFTfpreal,0.7,0.2,0.2757,0.0943,0.1636,0.0415,10
nohidden_HO_T20_mixFTfpreal,0.8,0.01,0.484,0.1474,0.1295,0.0763,10
nohidden_HO_T20_mixFTfpreal,0.8,0.025,0.479,0.1439,0.1317,0.0731,10
nohidden_HO_T20_mixFTfpreal,0.8,0.05,0.4633,0.1377,0.1348,0.0674,10
nohidden_HO_T20_mixFTfpreal,0.8,0.1,0.3936,0.1242,0.1382,0.0573,10
nohidden_HO_T20_mixFTfpreal,0.8,0.2,0.0781,0.078,0.214,0.0427,10
nohidden_HO_T20_mixFTfpreal,0.9,0.01,0.4462,0.1453,0.1289,0.0722,10
nohidden_HO_T20_mixFTfpreal,0.9,0.025,0.4278,0.1399,0.132,0.0688,10
nohidden_HO_T20_mixFTfpreal,0.9,0.05,0.3729,0.1241,0.1428,0.0614,10
nohidden_HO_T20_mixFTfpreal,0.9,0.1,0.1545,0.0883,0.198,0.0531,10
nohidden_HO_T20_mixFTfpreal,0.9,0.2,0.0033,0.0617,0.2341,0.0398,10
nohidden_HO_T20_mixFTfprealhq,0.0,0.01,0.3512,0.2773,0.2262,0.1056,10
nohidden_HO_T20_mixFTfprealhq,0.0,0.025,0.3825,0.2563,0.2188,0.1018,10
nohidden_HO_T20_mixFTfprealhq,0.0,0.05,0.4351,0.2228,0.2134,0.0957,10
nohidden_HO_T20_mixFTfprealhq,0.0,0.1,0.4917,0.179,0.2292,0.0855,10
nohidden_HO_T20_mixFTfprealhq,0.0,0.2,0.4992,0.1515,0.2651,0.0887,10
nohidden_HO_T20_mixFTfprealhq,0.1,0.01,0.4254,0.208,0.1986,0.0946,10
nohidden_HO_T20_mixFTfprealhq,0.1,0.025,0.4673,0.1905,0.1956,0.0911,10
nohidden_HO_T20_mixFTfprealhq,0.1,0.05,0.4984,0.1719,0.2028,0.0855,10
nohidden_HO_T20_mixFTfprealhq,0.1,0.1,0.5117,0.1479,0.2192,0.0834,10
nohidden_HO_T20_mixFTfprealhq,0.1,0.2,0.5069,0.128,0.2449,0.0851,10
nohidden_HO_T20_mixFTfprealhq,0.2,0.01,0.4915,0.1797,0.1805,0.0894,10
nohidden_HO_T20_mixFTfprealhq,0.2,0.025,0.5057,0.1711,0.1844,0.0859,10
nohidden_HO_T20_mixFTfprealhq,0.2,0.05,0.5137,0.1565,0.1911,0.0826,10
nohidden_HO_T20_mixFTfprealhq,0.2,0.1,0.5156,0.1339,0.2031,0.0801,10
nohidden_HO_T20_mixFTfprealhq,0.2,0.2,0.5088,0.1092,0.2249,0.0817,10
nohidden_HO_T20_mixFTfprealhq,0.3,0.01,0.5035,0.1733,0.1689,0.0874,10
nohidden_HO_T20_mixFTfprealhq,0.3,0.025,0.5097,0.1649,0.1718,0.0846,10
nohidden_HO_T20_mixFTfprealhq,0.3,0.05,0.5139,0.1511,0.1769,0.0809,10
nohidden_HO_T20_mixFTfprealhq,0.3,0.1,0.5131,0.1266,0.1879,0.0762,10
