COG	Node_GCA-000006805.1_AP024487.1_0
COG2091	0.02
COG2092	0.98
COG2093	0.97
COG2094	0.93
COG2095	0.99
COG2096	0.1
COG2097	0.94
COG2099	0.1
COG2100	0.99
COG2101	0.9208
COG2102	0.1
COG2104	0.05
COG2105	0.69
COG2106	0.01
COG2107	0.08
COG2108	0.54
COG2109	0.94
COG2110	0.44
COG2111	0.49
COG2112	0.79
COG2114	0.01
COG2116	0.06
COG2118	0.9109
COG2119	0.03
COG2120	0.91
COG2122	0.99
COG2123	0.72
COG2125	0.99
COG2128	0.12
COG2129	1
COG2131	0.06
COG2132	0.01
COG2133	0.05
COG2136	0.01
COG2138	0.5002
COG2139	0.99
COG2140	0.18
COG2141	0.01
COG2144	0.9652
COG2145	0.02
COG2146	0.424
COG2147	0.93
COG2150	0.9832
COG2151	0.880636
COG2152	0.81
COG2154	0.01
COG2155	0.01
COG2156	0.09
COG2157	0.09
COG2158	0.32
COG2159	0.6974
COG2161	0.02
COG2163	0.05
COG2167	0.03
COG2168	0.56
COG2170	0.163
COG2174	0.88
COG2178	0.69
COG2181	0.2374
COG2182	0.05
COG2183	0.03
COG2185	0.2674
COG2189	0.85
COG2191	0.408288
COG2192	0.42
COG2195	0.11
COG2201	0.68
COG2202	0.974618
COG2203	0.733777
COG2204	0.71
COG2210	0.08
COG2211	0.01
COG2212	0.85414
COG2216	0.05
COG2217	0.06
COG2218	0.9109
COG2219	0.98
COG2220	0.48
COG2221	0.28
COG2222	0.04
COG2226	0.9703
COG2229	0.01
COG2231	0.734
COG2232	0.23
COG2233	0.02
COG2234	0.898
COG2235	0.14
COG2236	0.95
COG2237	1
COG2238	0.99
COG2239	0.253
COG2241	0.17
COG2242	0.79
COG2243	0.5
COG2244	0.199824
COG2245	0.04
COG2246	0.08
COG2247	0.67
COG2248	1
COG2249	0.03
COG2250	0.927572
COG2252	0.25
COG2253	0.82
COG2254	0.4368
COG2258	0.08
COG2259	0.039502
COG2260	0.96
COG2262	0.61
COG2263	0.98
COG2264	0.01
COG2265	0.04
COG2266	0.03
COG2267	0.06
COG2301	0.37
COG2303	0.03
COG2304	0.96082
COG2309	1
COG2312	0.01
COG2314	0.18
COG2317	0.24
COG2319	0.9406
COG2320	0.03
COG2323	0.01
COG2324	0.03
COG2326	0.02
COG2327	0.02
COG2332	0.4896
COG2333	0.05
COG2334	0.07
COG2335	0.146224
COG2337	0.1545
COG2339	0.05
COG2340	0.14
COG2342	0.65
COG2343	0.05
COG2345	0.56
COG2348	0.11
COG2349	0.1
COG2353	0.01
COG2355	0.38
COG2357	0.02
COG2358	0.0396
COG2361	0.83
COG2362	0.06
COG2366	0.38
COG2368	0.4
COG2369	0.02
COG2378	0.06
COG2379	0.21
COG2382	0.02
COG2383	0.25
COG2386	0.61
COG2388	0.01
COG2391	0.25217
COG2401	0.19
COG2402	0.7256
COG2403	0.958
COG2404	0.4573
COG2405	0.8131
COG2406	0.01
COG2407	0.43
COG2409	0.02
COG2410	0.05
COG2411	0.2608
COG2412	0.96
COG2413	0.85
COG2414	0.944301
COG2421	0.47
