COG_ID	input_prob	input_present	candidate	q_full_mean	q_full_sd	q_mask_neutral_mean	q_mask_neutral_sd	q_mask_absent_mean	q_mask_absent_sd	self_anchor_neutral	self_anchor_absent	residual_context	dropout_mean	dropout_consensus
COG2010	0.0304	1	1	0.106305	0.289582	0.105719	0.289235	0.0916017	0.270342	0.000585712	0.0147028	-2.48133	0.416917	0.39375
COG2012	1	1	1	0.999853	0.000296231	0.99794	0.00395876	0.971131	0.0467022	0.00191331	0.0287225	6.89265	0.863599	0.96875
COG2013	1	1	1	0.994475	0.00396436	0.955797	0.0335679	0.747347	0.169227	0.0386775	0.247128	2.03358	0.911822	0.978125
COG2014	1	1	1	0.997465	0.00283558	0.978249	0.0179805	0.857241	0.111863	0.0192155	0.140224	4.49499	0.883011	0.975
COG2015	0.02	1	1	0.147907	0.225458	0.144467	0.224476	0.0440163	0.110005	0.00344008	0.103891	-1.09162	0.336877	0.25625
COG2016	1	1	1	0.999995	8.73166e-06	0.999942	0.000108609	0.999208	0.00140105	5.29289e-05	0.000787079	10.896	0.977692	0.996875
COG2017	0.9941	1	1	0.000584632	0.000790368	4.24236e-05	5.83084e-05	3.37362e-06	4.44358e-06	0.000542209	0.000581259	-12.7226	0.0831084	0.028125
COG2018	1	1	1	0.991182	0.00869428	0.92914	0.0569166	0.693749	0.202991	0.0620416	0.297433	2.68333	0.718366	0.75
COG2019	1	1	1	0.96435	0.0808033	0.847386	0.206016	0.510393	0.21709	0.116964	0.453957	3.25273	0.499058	0.515625
COG2020	1	1	1	0.992013	0.00719642	0.949859	0.0362193	0.771621	0.139967	0.0421537	0.220392	1.4816	0.98447	1
COG2021	0.9879	1	1	0.824299	0.11679	0.497365	0.234548	0.217762	0.268946	0.326934	0.606537	-1.19418	0.95935	1
COG2023	1	1	1	0.998875	0.00129037	0.98619	0.0136379	0.843122	0.104276	0.0126849	0.155753	5.23388	0.778929	0.853125
COG2025	1	1	1	0.982901	0.0198566	0.923177	0.0837632	0.749479	0.24325	0.0597239	0.233422	0.675344	0.991545	1
COG2026	1	1	1	0.994387	0.00571589	0.945489	0.0456958	0.680199	0.187542	0.0488983	0.314188	1.60955	0.842462	0.95
COG2027	0.001	1	1	0.0723188	0.134535	0.0722336	0.134436	0.0189546	0.0446926	8.51452e-05	0.0533642	-3.251	0.122913	0.021875
COG2028	0.9668	1	1	0.95518	0.10431	0.892061	0.193867	0.748102	0.234387	0.0631193	0.207078	8.28054	0.176621	0.06875
COG2029	0.849	1	1	0.986705	0.0179258	0.929397	0.0791527	0.693369	0.203153	0.0573078	0.293336	5.16849	0.431888	0.41875
COG2030	1	1	1	0.597476	0.328564	0.337386	0.347386	0.183624	0.311853	0.26009	0.413851	-1.30274	0.94721	0.99375
COG2031	0.8891	1	1	0.861929	0.0753004	0.513827	0.194443	0.150528	0.122721	0.348102	0.711401	0.66355	0.423452	0.428125
COG2032	0.0039	1	1	0.0790723	0.148567	0.0786288	0.148035	0.0147274	0.0357439	0.000443496	0.0643449	-2.92708	0.0391349	0
COG2033	1	1	1	0.995683	0.0107475	0.962447	0.0827869	0.848758	0.242411	0.0332365	0.146925	3.08313	0.686355	0.690625
COG2034	1	1	1	0.999076	0.00209829	0.994226	0.0128989	0.969565	0.0614046	0.00484943	0.0295109	9.19081	0.483813	0.471875
COG2035	0.7481	1	1	0.203867	0.276013	0.0810585	0.130082	0.0114208	0.0196081	0.122809	0.192447	-3.0752	0.284256	0.228125
